Supergroup,sg_name,Group,g_name,Subgroup,sug_name,Code,Name,RegionOrCountry
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000026,Allerdale,North West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000048,Christchurch,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,W06000003,Conwy,Wales
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E06000053,Isles of Scilly,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E06000052,Cornwall
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000163,Craven,Yorkshire and The Humber
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000040,East Devon,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000049,East Dorset,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000137,East Lindsey,East Midlands
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000030,Eden,North West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000119,Fylde,North West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,W06000001,Isle of Anglesey,Wales
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000063,Lewes,South East
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000043,North Devon,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000147,North Norfolk,East
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,W06000009,Pembrokeshire,Wales
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000051,Purbeck,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000064,Rother,South East
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000044,South Hams,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000031,South Lakeland,North West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000045,Teignbridge,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000076,Tendring,East
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000046,Torridge,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000206,Waveney,East
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000047,West Devon,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000052,West Dorset,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000191,West Somerset,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000128,Wyre,North West
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000200,Babergh,East
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000143,Breckland,East
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E06000011,East Riding of Yorkshire,Yorkshire and The Humber
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E06000019,"Herefordshire, County of",West Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000133,Melton,East Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000187,Mendip,South West
